Región,Provincia,Cantón
COSTA,LOS RIOS,QUINSALOMA
COSTA,MANABI,PORTOVIEJO
COSTA,MANABI,CHONE
COSTA,MANABI,EL CARMEN
COSTA,MANABI,FLAVIO ALFARO
COSTA,MANABI,JIPIJAPA
COSTA,MANABI,JUNÍN
COSTA,MANABI,MANTA
COSTA,MANABI,MONTECRISTI
COSTA,MANABI,PAJÁN
COSTA,MANABI,PICHINCHA
COSTA,MANABI,ROCAFUERTE
COSTA,MANABI,SANTA ANA
COSTA,MANABI,SUCRE
COSTA,MANABI,TOSAGUA
COSTA,MANABI,24 DE MAYO
COSTA,MANABI,PEDERNALES
COSTA,MANABI,PUERTO LÓPEZ
COSTA,MANABI,JAMA
COSTA,MANABI,JARAMIJÓ
COSTA,MANABI,SAN VICENTE
ORIENTE,MORONA SANTIAGO,MORONA
ORIENTE,MORONA SANTIAGO,GUALAQUIZA
ORIENTE,MORONA SANTIAGO,LIMÓN INDANZA
ORIENTE,MORONA SANTIAGO,PALORA
ORIENTE,MORONA SANTIAGO,SANTIAGO
ORIENTE,MORONA SANTIAGO,SUCÚA
ORIENTE,MORONA SANTIAGO,HUAMBOYA
ORIENTE,MORONA SANTIAGO,SAN JUAN BOSCO
ORIENTE,MORONA SANTIAGO,TAISHA
ORIENTE,MORONA SANTIAGO,LOGROÑO
ORIENTE,MORONA SANTIAGO,PABLO SEXTO
ORIENTE,MORONA SANTIAGO,TIWINTZA
ORIENTE,NAPO,TENA
ORIENTE,NAPO,ARCHIDONA
ORIENTE,NAPO,EL CHACO
ORIENTE,NAPO,QUIJOS
ORIENTE,NAPO,CARLOS JULIO AROSEMENA TOLA
ORIENTE,PASTAZA,PASTAZA
ORIENTE,PASTAZA,MERA
ORIENTE,PASTAZA,SANTA CLARA
ORIENTE,PASTAZA,ARAJUNO
SIERRA,PICHINCHA,QUITO
SIERRA,PICHINCHA,CAYAMBE
SIERRA,PICHINCHA,MEJIA
SIERRA,PICHINCHA,PEDRO MONCAYO
SIERRA,PICHINCHA,RUMIÑAHUI
SIERRA,PICHINCHA,SAN MIGUEL DE LOS BANCOS
SIERRA,PICHINCHA,PEDRO VICENTE MALDONADO
SIERRA,PICHINCHA,PUERTO QUITO
SIERRA,TUNGURAHUA,AMBATO
SIERRA,TUNGURAHUA,BAÑOS DE AGUA SANTA
SIERRA,TUNGURAHUA,CEVALLOS
SIERRA,TUNGURAHUA,MOCHA
SIERRA,TUNGURAHUA,PATATE
SIERRA,TUNGURAHUA,QUERO
SIERRA,TUNGURAHUA,SAN PEDRO DE PELILEO
SIERRA,TUNGURAHUA,SANTIAGO DE PÍLLARO
SIERRA,TUNGURAHUA,TISALEO
ORIENTE,ZAMORA CHINCHIPE,ZAMORA
ORIENTE,ZAMORA CHINCHIPE,CHINCHIPE
ORIENTE,ZAMORA CHINCHIPE,NANGARITZA
ORIENTE,ZAMORA CHINCHIPE,YACUAMBI
ORIENTE,ZAMORA CHINCHIPE,YANTZAZA (YANZATZA)
ORIENTE,ZAMORA CHINCHIPE,EL PANGUI
ORIENTE,ZAMORA CHINCHIPE,CENTINELA DEL CÓNDOR
ORIENTE,ZAMORA CHINCHIPE,PALANDA
ORIENTE,ZAMORA CHINCHIPE,PAQUISHA
GALAPAGOS,GALAPAGOS,SAN CRISTÓBAL
GALAPAGOS,GALAPAGOS,ISABELA
GALAPAGOS,GALAPAGOS,SANTA CRUZ
ORIENTE,SUCUMBIOS,LAGO AGRIO
ORIENTE,SUCUMBIOS,GONZALO PIZARRO
ORIENTE,SUCUMBIOS,PUTUMAYO
ORIENTE,SUCUMBIOS,SHUSHUFINDI
ORIENTE,SUCUMBIOS,SUCUMBÍOS
ORIENTE,SUCUMBIOS,CASCALES
ORIENTE,SUCUMBIOS,CUYABENO
ORIENTE,ORELLANA,ORELLANA
ORIENTE,ORELLANA,AGUARICO
ORIENTE,ORELLANA,LA JOYA DE LOS SACHAS
ORIENTE,ORELLANA,LORETO
COSTA,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO
COSTA,SANTA ELENA,SANTA ELENA
COSTA,SANTA ELENA,LA LIBERTAD
COSTA,SANTA ELENA,SALINAS
NA,ZONAS NO DELIMITADAS,LAS GOLONDRINAS
NA,ZONAS NO DELIMITADAS,MANGA DEL CURA
NA,ZONAS NO DELIMITADAS,EL PIEDRERO
